Flat profile:

Each sample counts as 0.01 seconds.
 no time accumulated

  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.00      0.00     0.00     8525     0.00     0.00  std::_Vector_base<char, std::allocator<char> >::_Vector_base()
  0.00      0.00     0.00     8525     0.00     0.00  std::vector<char, std::allocator<char> >::vector()
  0.00      0.00     0.00     8521     0.00     0.00  std::_Vector_base<char, std::allocator<char> >::_Vector_impl::~_Vector_impl()
  0.00      0.00     0.00     8521     0.00     0.00  std::_Vector_base<char, std::allocator<char> >::~_Vector_base()
  0.00      0.00     0.00     8521     0.00     0.00  std::vector<char, std::allocator<char> >::~vector()
  0.00      0.00     0.00     8040     0.00     0.00  boost::shared_ptr<TcpConnection>::operator->() const
  0.00      0.00     0.00     8039     0.00     0.00  std::pair<int const, boost::shared_ptr<TcpConnection> >* std::__addressof<std::pair<int const, boost::shared_ptr<TcpConnection> > >(std::pair<int const, boost::shared_ptr<TcpConnection> >&)
  0.00      0.00     0.00     8011     0.00     0.00  boost::shared_ptr<Event>::~shared_ptr()
  0.00      0.00     0.00     8000     0.00     0.00  std::vector<char, std::allocator<char> >::_M_insert_aux(__gnu_cxx::__normal_iterator<char*, std::vector<char, std::allocator<char> > >, char const&)
  0.00      0.00     0.00     7804     0.00     0.00  boost::detail::atomic_increment(int*)
  0.00      0.00     0.00     7799     0.00     0.00  boost::detail::shared_count::shared_count(boost::detail::shared_count const&)
  0.00      0.00     0.00     7793     0.00     0.00  boost::detail::sp_counted_base::add_ref_copy()
  0.00      0.00     0.00     7782     0.00     0.00  std::_Select1st<std::pair<int const, boost::shared_ptr<TcpConnection> > >::operator()(std::pair<int const, boost::shared_ptr<TcpConnection> > const&) const
  0.00      0.00     0.00     7270     0.00     0.00  boost::detail::shared_count::shared_count()
  0.00      0.00     0.00     7042     0.00     0.00  TcpConnection::Fd()
  0.00      0.00     0.00     6781     0.00     0.00  std::_Rb_tree<int, std::pair<int const, boost::shared_ptr<TcpConnection> >, std::_Select1st<std::pair<int const, boost::shared_ptr<TcpConnection> > >, std::less<int>, std::allocator<std::pair<int const, boost::shared_ptr<TcpConnection> > > >::_M_end()
  0.00      0.00     0.00     6563     0.00     0.00  std::vector<boost::shared_ptr<Event>, std::allocator<boost::shared_ptr<Event> > >::size() const
  0.00      0.00     0.00     6522     0.00     0.00  std::less<int>::operator()(int const&, int const&) const
  0.00      0.00     0.00     6521     0.00     0.00  std::_Rb_tree_iterator<std::pair<int const, boost::shared_ptr<TcpConnection> > >::operator==(std::_Rb_tree_iterator<std::pair<int const, boost::shared_ptr<TcpConnection> > > const&) const
  0.00      0.00     0.00     6520     0.00     0.00  __gnu_cxx::__normal_iterator<char const*, std::vector<char, std::allocator<char> > >::__normal_iterator(char const* const&)
  0.00      0.00     0.00     6520     0.00     0.00  __gnu_cxx::__normal_iterator<char const*, std::vector<char, std::allocator<char> > >::base() const
  0.00      0.00     0.00     6019     0.00     0.00  std::_Rb_tree_iterator<std::pair<std::string const, EventFunc> >::_Rb_tree_iterator(std::_Rb_tree_node<std::pair<std::string const, EventFunc> >*)
  0.00      0.00     0.00     6004     0.00     0.00  std::vector<char, std::allocator<char> >::operator[](unsigned int)
  0.00      0.00     0.00     5521     0.00     0.00  std::_Rb_tree<int, std::pair<int const, boost::shared_ptr<TcpConnection> >, std::_Select1st<std::pair<int const, boost::shared_ptr<TcpConnection> > >, std::less<int>, std::allocator<std::pair<int const, boost::shared_ptr<TcpConnection> > > >::_M_begin()
  0.00      0.00     0.00     5520     0.00     0.00  std::_Rb_tree_iterator<std::pair<int const, boost::shared_ptr<TcpConnection> > >::operator->() const
  0.00      0.00     0.00     5268     0.00     0.00  boost::detail::sp_counted_base::weak_release()
  0.00      0.00     0.00     5267     0.00     0.00  boost::detail::sp_counted_base::sp_counted_base()
  0.00      0.00     0.00     5265     0.00     0.00  boost::detail::sp_enable_shared_from_this(...)
  0.00      0.00     0.00     5261     0.00     0.00  std::map<int, boost::shared_ptr<TcpConnection>, std::less<int>, std::allocator<std::pair<int const, boost::shared_ptr<TcpConnection> > > >::end()
  0.00      0.00     0.00     5260     0.00     0.00  boost::detail::sp_counted_base::destroy()
  0.00      0.00     0.00     5260     0.00     0.00  boost::detail::sp_counted_base::~sp_counted_base()
  0.00      0.00     0.00     5039     0.00     0.00  boost::shared_ptr<TcpConnection>::~shared_ptr()
  0.00      0.00     0.00     5012     0.00     0.00  std::_Select1st<std::pair<std::string const, EventFunc> >::operator()(std::pair<std::string const, EventFunc> const&) const
  0.00      0.00     0.00     4556     0.00     0.00  void std::_Destroy_aux<false>::__destroy<boost::shared_ptr<Event>*>(boost::shared_ptr<Event>*, boost::shared_ptr<Event>*)
  0.00      0.00     0.00     4556     0.00     0.00  void std::_Destroy<boost::shared_ptr<Event>*>(boost::shared_ptr<Event>*, boost::shared_ptr<Event>*)
  0.00      0.00     0.00     4556     0.00     0.00  void std::_Destroy<boost::shared_ptr<Event>*, boost::shared_ptr<Event> >(boost::shared_ptr<Event>*, boost::shared_ptr<Event>*, std::allocator<boost::shared_ptr<Event> >&)
  0.00      0.00     0.00     4554     0.00     0.00  Epoll::GetEvents(std::vector<boost::shared_ptr<Event>, std::allocator<boost::shared_ptr<Event> > >&)
  0.00      0.00     0.00     4554     0.00     0.00  __gnu_cxx::__alloc_traits<std::allocator<boost::shared_ptr<Event> > >::_S_on_swap(std::allocator<boost::shared_ptr<Event> >&, std::allocator<boost::shared_ptr<Event> >&)
  0.00      0.00     0.00     4554     0.00     0.00  boost::shared_ptr<EventSourceBase>::operator->() const
  0.00      0.00     0.00     4554     0.00     0.00  std::_Vector_base<boost::shared_ptr<Event>, std::allocator<boost::shared_ptr<Event> > >::_Vector_impl::_M_swap_data(std::_Vector_base<boost::shared_ptr<Event>, std::allocator<boost::shared_ptr<Event> > >::_Vector_impl&)
  0.00      0.00     0.00     4554     0.00     0.00  std::__alloc_swap<std::allocator<boost::shared_ptr<Event> >, true>::_S_do_it(std::allocator<boost::shared_ptr<Event> >&, std::allocator<boost::shared_ptr<Event> >&)
  0.00      0.00     0.00     4554     0.00     0.00  std::_Rb_tree_iterator<std::pair<std::string const, EventFunc> >::_Rb_tree_iterator()
  0.00      0.00     0.00     4554     0.00     0.00  std::vector<boost::shared_ptr<EventSourceBase>, std::allocator<boost::shared_ptr<EventSourceBase> > >::operator[](unsigned int)
  0.00      0.00     0.00     4554     0.00     0.00  std::vector<boost::shared_ptr<Event>, std::allocator<boost::shared_ptr<Event> > >::_M_erase_at_end(boost::shared_ptr<Event>*)
  0.00      0.00     0.00     4554     0.00     0.00  std::vector<boost::shared_ptr<Event>, std::allocator<boost::shared_ptr<Event> > >::swap(std::vector<boost::shared_ptr<Event>, std::allocator<boost::shared_ptr<Event> > >&)
  0.00      0.00     0.00     4554     0.00     0.00  std::vector<boost::shared_ptr<Event>, std::allocator<boost::shared_ptr<Event> > >::clear()
  0.00      0.00     0.00     4261     0.00     0.00  std::_Rb_tree_iterator<std::pair<int const, boost::shared_ptr<TcpConnection> > >::operator!=(std::_Rb_tree_iterator<std::pair<int const, boost::shared_ptr<TcpConnection> > > const&) const
  0.00      0.00     0.00     4261     0.00     0.00  std::map<int, boost::shared_ptr<TcpConnection>, std::less<int>, std::allocator<std::pair<int const, boost::shared_ptr<TcpConnection> > > >::find(int const&)
  0.00      0.00     0.00     4261     0.00     0.00  std::_Rb_tree<int, std::pair<int const, boost::shared_ptr<TcpConnection> >, std::_Select1st<std::pair<int const, boost::shared_ptr<TcpConnection> > >, std::less<int>, std::allocator<std::pair<int const, boost::shared_ptr<TcpConnection> > > >::_M_lower_bound(std::_Rb_tree_node<std::pair<int const, boost::shared_ptr<TcpConnection> > >*, std::_Rb_tree_node<std::pair<int const, boost::shared_ptr<TcpConnection> > >*, int const&)
  0.00      0.00     0.00     4261     0.00     0.00  std::_Rb_tree<int, std::pair<int const, boost::shared_ptr<TcpConnection> >, std::_Select1st<std::pair<int const, boost::shared_ptr<TcpConnection> > >, std::less<int>, std::allocator<std::pair<int const, boost::shared_ptr<TcpConnection> > > >::find(int const&)
  0.00      0.00     0.00     4014     0.00     0.00  CMutex::~CMutex()
  0.00      0.00     0.00     4010     0.00     0.00  std::_Rb_tree<std::string, std::pair<std::string const, EventFunc>, std::_Select1st<std::pair<std::string const, EventFunc> >, std::less<std::string>, std::allocator<std::pair<std::string const, EventFunc> > >::end()
  0.00      0.00     0.00     4006     0.00     0.00  std::pair<std::string const, EventFunc>* std::__addressof<std::pair<std::string const, EventFunc> >(std::pair<std::string const, EventFunc>&)
